 tag   molecule                 #lines   lg(Q(1000))  lg(Q(500))   lg(Q(300))   lg(Q(225))   lg(Q(150))    lg(Q(75))  lg(Q(37.5))   lg(Q(18.75))  lg(Q(9.375))  lg(Q(5.000))  lg(Q(2.725))
 15501 NH                         1948       2.8912       2.5916       2.3735       2.2521       2.0834       1.8051       1.5511       1.3511       1.2637       1.2551       1.2548
 15502 C-13-D+                      21          NaN       1.6735       1.4516       1.3281       1.1551       0.8643       0.5842       0.3261       0.1163       0.0172       0.0005
 15503 C-14-H+                      13          NaN       1.4098       1.1908       1.0687       0.8987       0.6168       0.3551       0.1370       0.0186       0.0005       0.0000
 15504 CT+                          17          NaN       1.8137       1.5896       1.4655       1.2916       0.9978       0.7119       0.4417       0.2044       0.0540       0.0042
 16501 NH2                       18513          NaN          NaN       3.1156       2.9294       2.6683       2.2277       1.8038       1.4536       1.2828       1.2562       1.2548
 16502 ND                         2020          NaN          NaN       2.8141       2.6909       2.5186       2.2296       1.9532       1.7031       1.5121       1.4395       1.4312
 16503 CH2D+                       333          NaN          NaN       2.8925       2.7055       2.4425       1.9955       1.5533       1.1073       0.6201       0.1899       0.0150
 16504 O-atom                        2       0.9090       0.8706       0.8287       0.8010       0.7612       0.7124       0.6996       0.6990       0.6990       0.6990       0.6990
 17501 OH+                         209          NaN          NaN       1.8945       1.7730       1.6042       1.3261       1.0724       0.8732       0.7866       0.7781       0.7779
 17502 OH-                          19       1.5794       1.2778       1.0605       0.9397       0.7721       0.4974       0.2507       0.0683       0.0041          NaN          NaN
 17503 CH3D                        143          NaN          NaN       2.9068       2.7198       2.4568       2.0093       1.5674       1.1479       0.7752          NaN          NaN
 18501 NH2D                       3343          NaN          NaN       3.5790       3.3920       3.1293       2.6827       2.2420       1.8123       1.4059          NaN          NaN
 18502 OD-                          22       1.8583       1.5477       1.3277       1.2049       1.0332       0.7459       0.4731       0.2303       0.0571          NaN          NaN
 18503 N-15-H3                     607          NaN          NaN       2.7664       2.5801       2.3188       1.8767       1.4484       1.0648       0.7588       0.6210       0.6024
 18504 C-13-H3D                     84          NaN          NaN       2.9073       2.7203       2.4573       2.0098       1.5679       1.1483       0.7756          NaN          NaN
 18505 H2O+                       1449          NaN          NaN       2.5968       2.4104       2.1492       1.7089       1.2855       0.9446       0.8002       0.7791       0.7779
 18506 OD+                          99          NaN          NaN       2.3377       2.2145       2.0421       1.7529       1.4765       1.2267       1.0361       0.9630       0.9543
 19501 NHD2                       5000          NaN          NaN       3.5988       3.4117       3.1486       2.7013       2.2590       1.8265       1.4143       1.0977       0.9567
 19502 O-18-H-                      16       1.5822       1.2806       1.0633       0.9424       0.7748       0.4999       0.2528       0.0695       0.0043          NaN          NaN
 19503 H3O+                        273          NaN       3.0926       2.7160       2.5147       2.2412       1.7968       1.4262       1.2016       1.0641          NaN          NaN
 19504 N-15-H2D                   2916          NaN          NaN       3.1036       2.9166       2.6538       2.2073       1.7666       1.3371       0.9311          NaN          NaN
 19505 O-18-H+                      75          NaN          NaN       1.8972       1.7757       1.6069       1.3286       1.0746       0.8746       0.7868       0.7781       0.7779
 19506 NH3D+                        55          NaN          NaN       2.8307       2.6437       2.3809       1.9339       1.4939       1.0808       0.7169       0.4482       0.3192
 20501 ND3                         698          NaN          NaN       3.7254       3.5385       3.2757       2.8281       2.3848       1.9515       1.5476          NaN          NaN
 20502 D2O                        3289       3.4017       2.8894       2.5436       2.3554       2.0925       1.6471       1.2092       0.7914       0.4596       0.3251       0.3022
 20503 H2DO+                       130          NaN          NaN       3.0160       2.8166       2.5302       2.0237       1.5025       0.9890       0.4730       0.0971       0.0039
 20504 N-15-HD2                   2890          NaN          NaN       3.1235       2.9364       2.6734       2.2261       1.7838       1.3513       0.9392          NaN          NaN
 21501 NeH+                         23       1.6222       1.3121       1.0938       0.9725       0.8041       0.5272       0.2761       0.0833       0.0063          NaN          NaN
 21502 H2F+                        170          NaN          NaN       2.2363       2.0499       1.7888       1.3491       0.9198       0.4878       0.1204       0.0070       0.0000
 22501 NeD+                         28          NaN       1.5866       1.3648       1.2415       1.0693       0.7807       0.5054       0.2576       0.0722          NaN          NaN
 23501 Ne-22-H+                     21          NaN       1.3139       1.0956       0.9743       0.8058       0.5288       0.2776       0.0842       0.0065          NaN          NaN
 24501 NaH                         172          NaN          NaN       2.2428       2.1183       1.9438       1.6488       1.3610       1.0873       0.8425          NaN          NaN
 24502 LiOH                         43          NaN          NaN       2.2494       2.1245       1.9487       1.6491       1.3512       1.0567       0.7689          NaN          NaN
 25501 CCH, v=0                    363       3.9556       3.3192       2.9114       2.7164       2.4836       2.1605       1.8628       1.5699       1.2852       1.0411       0.8308
 25502 MgH                          96          NaN          NaN       2.1685       2.0443       1.8704       1.5769       1.2917       1.0231       0.7895          NaN          NaN
 25503 CCH, v2=1                   688       3.9556       3.3192       2.9114       2.7164       2.4836       2.1605       1.8628       1.5699       1.2852       1.0411       0.8308
 25504 C2H-                         37          NaN       2.3994       2.1777       2.0530       1.8775       1.5783       1.2811       0.9878       0.7024          NaN          NaN
 25505 CCH, v2=2                   749       3.9556       3.3192       2.9114       2.7164       2.4836       2.1605       1.8628       1.5699       1.2852       1.0411       0.8308
 25506 CCH, v3=1                   243       3.9556       3.3192       2.9114       2.7164       2.4836       2.1605       1.8628       1.5699       1.2852       1.0411       0.8308
 25507 CCH, nu2                    298       3.9556       3.3192       2.9114       2.7164       2.4836       2.1605       1.8628       1.5699       1.2852       1.0411       0.8308
 25508 CCH, nu3                    201       3.9556       3.3192       2.9114       2.7164       2.4836       2.1605       1.8628       1.5699       1.2852       1.0411       0.8308
 25509 CCH, nu2+nu3                214       3.9556       3.3192       2.9114       2.7164       2.4836       2.1605       1.8628       1.5699       1.2852       1.0411       0.8308
 25510 CCH, 5nu2                   146       3.9556       3.3192       2.9114       2.7164       2.4836       2.1605       1.8628       1.5699       1.2852       1.0411       0.8308
 26501 CCD                         219          NaN          NaN       3.0181       2.8934       2.7178       2.4183       2.1206       1.8263       1.5387       1.2896       1.0695
 26502 C-13-CH                     256          NaN          NaN       3.0762       2.9515       2.7760       2.4767       2.1794       1.8858       1.5998       1.3534       1.1387
 26503 CC-13-H                     247          NaN          NaN       3.0706       2.9459       2.7704       2.4712       2.1741       1.8809       1.5957       1.3508       1.1388
 26504 CN, v=0,1                   646          NaN       3.0450       2.8222       2.6976       2.5223       2.2238       1.9280       1.6376       1.3579       1.1228       0.9303
 26505 C2H2, nu5-nu4               273       3.4757       2.9727       2.6172       2.4505       2.2534       1.9508       1.6530       1.3585       1.0707          NaN          NaN
 26506 CN-                          28          NaN          NaN       2.5255       2.4009       2.2256       1.9271       1.6312       1.3407       1.0607          NaN          NaN
 26507 B-10-O                      822          NaN          NaN       3.1933       3.0686       2.8933       2.5947       2.2987       2.0077       1.7271          NaN          NaN
 27501 HCN, v=0                     90       3.5198       2.9688       2.6566       2.5122       2.3286       2.0286       1.7317       1.4389       1.1545       0.9109       0.7016
 27502 HNC, v=0                     47          NaN       2.5455       2.2255       2.0585       1.8507       1.5419       1.2449       0.9523       0.6683       0.4254       0.2174
 27503 HCN, v2=1                   204       3.5198       2.9688       2.6566       2.5122       2.3286       2.0286       1.7317       1.4389       1.1545          NaN          NaN
 27504 HNC, v2=1                   127          NaN       2.5455       2.2255       2.0585       1.8507       1.5419       1.2449       0.9523       0.6683          NaN          NaN
 27505 C-13-N                     1471          NaN       3.3645       3.1416       3.0169       2.8416       2.5429       2.2468       1.9556       1.6746       1.4371       1.2398
 27506 CN-15                       294          NaN       2.8825       2.6596       2.5350       2.3596       2.0611       1.7651       1.4743       1.1939       0.9577       0.7627
 27507 HCN, v2=2                   137       3.5198       2.9688       2.6566       2.5122       2.3286       2.0286       1.7317       1.4389       1.1545          NaN          NaN
 27508 HCN, v2=3                   210       3.5198       2.9688       2.6566       2.5122       2.3286       2.0286       1.7317       1.4389       1.1545          NaN          NaN
 27509 HCN, v3=1                    48       3.5198       2.9688       2.6566       2.5122       2.3286       2.0286       1.7317       1.4389       1.1545          NaN          NaN
 27510 HCN, v1=1                    48       3.5198       2.9688       2.6566       2.5122       2.3286       2.0286       1.7317       1.4389       1.1545          NaN          NaN
 27511 HCCD                         40          NaN          NaN       2.3237       2.1990       2.0233       1.7236       1.4253       1.1298       0.8398          NaN          NaN
 27512 HB-10-O                      42          NaN          NaN       3.0340       2.9093       2.7338       2.4346       2.1373       1.8438       1.5579          NaN          NaN
 27513 BO                          468          NaN          NaN       2.9749       2.8503       2.6748       2.3760       2.0795       1.7877       1.5052          NaN          NaN
 27514 C2H3+                       219          NaN          NaN       3.4294       3.2418       2.9777       2.5272       2.0784       1.6327       1.2000          NaN          NaN
 27515 Al-atom                       6       1.5109       1.4681       1.4153       1.3751       1.3051       1.1699       1.0903       1.0784       1.0772       1.0755       1.0725
 28501 HC-13-N, v=0                 87       3.3977       2.9613       2.6673       2.5238       2.3400       2.0399       1.7428       1.4498       1.1650          NaN          NaN
 28502 H2CN                       6519          NaN          NaN       4.2330       4.0456       3.7817       3.3314       2.8833       2.4520       2.0732          NaN          NaN
 28503 CO, v=0                      95       2.5595       2.2584       2.0369       1.9123       1.7370       1.4386       1.1429       0.8526       0.5733       0.3389       0.1478
 28504 HCNH+                        50          NaN          NaN       2.2281       2.1034       1.9279       1.6285       1.3309       1.0368       0.7496          NaN          NaN
 28505 C-13-N-15                   818          NaN       3.2026       2.9795       2.8549       2.6795       2.3808       2.0845       1.7930       1.5113       1.2726       1.0729
 28506 HCN-15, v=0                  72       2.9207       2.4843       2.1910       2.0478       1.8642       1.5642       1.2671       0.9741       0.6892          NaN          NaN
 28507 HCN-15, v2=1                192       2.9207       2.4843       2.1910       2.0478       1.8642       1.5642       1.2671       0.9741       0.6892          NaN          NaN
 28508 DNC                          39          NaN          NaN       2.2156       2.0909       1.9153       1.6160       1.3184       1.0245       0.7377          NaN          NaN
 28509 DCN, v=0                     64       3.5117       3.0789       2.7682       2.6126       2.4187       2.1156       1.8179       1.5236       1.2361          NaN          NaN
 28510 DCN, v2=1                   164       3.5117       3.0789       2.7682       2.6126       2.4187       2.1156       1.8179       1.5236       1.2361          NaN          NaN
 28511 HC-13-N, v2=1               242       3.3977       2.9613       2.6673       2.5238       2.3400       2.0399       1.7428       1.4498       1.1650          NaN          NaN
 28512 CO, v=1-3                    87       2.5801       2.2593       2.0369       1.9123       1.7370       1.4386       1.1429       0.8526       0.5733          NaN          NaN
 28513 CO+, v=0                     97       2.8699       2.5502       2.3279       2.2034       2.0281       1.7297       1.4342       1.1441       0.8653       0.6319       0.4427
 28514 HBO                          43          NaN          NaN       2.8056       2.6809       2.5054       2.2061       1.9087       1.6149       1.3286          NaN          NaN
 28515 HNC-13                       25          NaN          NaN       2.1583       2.0336       1.8581       1.5590       1.2620       0.9691       0.6844       0.4403       0.2299
 28516 AlH                          25          NaN       1.7512       1.5260       1.4019       1.2283       0.9356       0.6521       0.3870       0.1611          NaN          NaN
 28517 Si-atom                       2       0.8640       0.7806       0.6801       0.6056       0.4800       0.2437       0.0632       0.0035       0.0000       0.0000       0.0000
 28518 Si+                           1       0.6678       0.5752       0.4798       0.4225       0.3540       0.3047       0.3011       0.3010       0.3010       0.3010       0.3010
 28519 CO+, v=1                     44       2.8699       2.5502       2.3279       2.2034       2.0281       1.7297       1.4342       1.1441       0.8653       0.6319       0.4427
 29501 C-13-O                       67       2.8801       2.5789       2.3574       2.2328       2.0575       1.7589       1.4630       1.1722       0.8919       0.6558       0.4611
 29502 HCND+                        50          NaN          NaN       2.2957       2.1710       1.9953       1.6957       1.3976       1.1025       0.8133          NaN          NaN
 29503 CO-17                       457          NaN       3.0476       2.8261       2.7015       2.5262       2.2277       1.9319       1.6413       1.3614          NaN          NaN
 29504 HOC+, v2=0                   40          NaN          NaN       2.3558       2.1739       1.9228       1.5554       1.2505       0.9578       0.6735       0.4303       0.2214
 29505 HOC+, v2=1                   96          NaN          NaN       2.3558       2.1739       1.9228       1.5554       1.2505       0.9578       0.6735       0.4303       0.2214
 29506 N2H+, v=0; alternative       47          NaN       3.4108       3.1143       2.9692       2.7844       2.4842       2.1875       1.8952       1.6116       1.3696       1.1633
 29507 HCO+, v=0                    46          NaN       2.4426       2.1638       2.0276       1.8481       1.5488       1.2519       0.9592       0.6748       0.4315       0.2225
 29508 HCO+, v2=1                   76          NaN       2.4426       2.1638       2.0276       1.8481       1.5488       1.2519       0.9592       0.6748          NaN          NaN
 29509 N2H+, v2=1                  112          NaN       3.4108       3.1143       2.9692       2.7844       2.4842       2.1875       1.8952       1.6116          NaN          NaN
 29510 DC-13-N                      64          NaN       3.0891       2.7775       2.6212       2.4264       2.1231       1.8253       1.5309       1.2432          NaN          NaN
 29511 DCN-15                       60          NaN          NaN       2.2508       2.1261       1.9505       1.6510       1.3532       1.0587       0.7709          NaN          NaN
 29512 HC-13-N-15, v=0              70       2.9342       2.4978       2.2037       2.0600       1.8761       1.5760       1.2788       0.9856       0.7002          NaN          NaN
 29513 HC-13-N-15, v2=1            186       2.9342       2.4978       2.2037       2.0600       1.8761       1.5760       1.2788       0.9856       0.7002          NaN          NaN
 29514 HC-13-NH+                    45          NaN          NaN       2.2393       2.1146       1.9390       1.6396       1.3419       1.0476       0.7601          NaN          NaN
 29515 HCO+, nu2                   136          NaN       2.4426       2.1638       2.0276       1.8481       1.5488       1.2519       0.9592       0.6748          NaN          NaN
 29516 N2H+, nu2                   117          NaN       3.4108       3.1143       2.9692       2.7844       2.4842       2.1875       1.8952       1.6116       1.3696       1.1633
 29517 SiH                         125          NaN          NaN       2.2512       2.1015       1.8890       1.5475       1.2714       1.0614       0.9338       0.8990       0.8917
 29518 H2CNH                      2926          NaN          NaN       3.7711       3.5838       3.3199       2.8695       2.4206       1.9745       1.5341       1.4502       1.1358
 29519 C-13-O+                     276          NaN          NaN       2.6483       2.5237       2.3484       2.0497       1.7536       1.4624       1.1814       0.9439       0.7470
 29606 N2H+, v=0; recommended       47          NaN       3.4108       3.1143       2.9692       2.7844       2.4842       2.1875       1.8952       1.6116       1.3696       1.1633
 30501 H2CO                       5171          NaN       3.7930       3.4598       3.2725       3.0086       2.5584       2.1094       1.6501       1.1399       0.6516       0.3046
 30502 CO-18                        60       2.5807       2.2796       2.0580       1.9334       1.7581       1.4595       1.1636       0.8728       0.5924       0.3561       0.1611
 30503 C-13-O-17                   442          NaN       3.0677       2.8461       2.7215       2.5462       2.2476       1.9515       1.6604       1.3796          NaN          NaN
 30504 HC-13-O+                     46          NaN          NaN       2.1599       2.0353       1.8598       1.5607       1.2637       0.9707       0.6859       0.4418       0.2312
 30505 HCO-17+                      46          NaN          NaN       2.9366       2.8119       2.6364       2.3374       2.0403       1.7474       1.4627       1.2186       1.0082
 30506 DOC+                         48          NaN          NaN       2.2152       2.0905       1.9149       1.6155       1.3180       1.0241       0.7373       0.4896       0.2723
 30507 N-15-NH+                     39          NaN       2.8414       2.6198       2.4952       2.3198       2.0208       1.7239       1.4313       1.1472          NaN          NaN
 30508 NN-15-H+                     38          NaN       2.8369       2.6154       2.4907       2.3153       2.0163       1.7195       1.4269       1.1430          NaN          NaN
 30509 N2D+                         52          NaN       3.3869       3.1652       3.0405       2.8650       2.5657       2.2682       1.9743       1.6877          NaN          NaN
 30510 DCO+                         50          NaN          NaN       2.2405       2.1158       1.9402       1.6407       1.3430       1.0487       0.7611       0.5120       0.2919
 30511 DC-13-N-15                   60          NaN          NaN       2.2588       2.1340       1.9584       1.6589       1.3611       1.0665       0.7783          NaN          NaN
 30512 NO+                          32          NaN          NaN       2.4995       2.3749       2.1997       1.9014       1.6059       1.3159       1.0374          NaN          NaN
 30513 CO-18-+                      89          NaN          NaN       2.3490       2.2245       2.0492       1.7507       1.4548       1.1643       0.8844       0.6490       0.4558
 30514 H2C-13-NH                  1629          NaN          NaN       3.7816       3.5943       3.3304       2.8799       2.4310       1.9848       1.5441       1.1587       0.8434
 30515 H2CND                      1979          NaN          NaN       3.8570       3.6696       3.4057       2.9551       2.5060       2.0594       1.6179       1.2276       0.8893
 30516 H2CN-15-H                  1629          NaN          NaN       3.3052       3.1179       2.8540       2.4035       1.9546       1.5084       1.0677       0.6823       0.3666
 31501 HDCO                       4768          NaN          NaN       3.2890       3.1015       2.8376       2.3871       1.9382       1.4921       1.0518       0.6673       0.3543
 31502 C-13-O-18                   195       2.9023       2.6011       2.3795       2.2549       2.0796       1.7809       1.4847       1.1934       0.9120          NaN          NaN
 31503 H2C-13-O                   2309          NaN          NaN       3.4707       3.2833       3.0194       2.5692       2.1201       1.6607       1.1502       0.6613       0.3132
 31504 H2COH+                     1612          NaN          NaN       3.2957       3.1083       2.8444       2.3940       1.9451       1.4989       1.0585          NaN          NaN
 31505 CF                         1323          NaN          NaN       3.0052       2.8603       2.6489       2.2743       1.9178       1.6155       1.3505       1.1416       0.9893
 31506 HCO-18+                      46          NaN          NaN       2.1679       2.0433       1.8678       1.5687       1.2716       0.9785       0.6934       0.4487       0.2370
 31507 CF+, v=0,1                   68          NaN       2.3118       2.0876       1.9628       1.7874       1.4887       1.1924       0.9009       0.6191          NaN          NaN
 31508 DC-13-O+                     48          NaN          NaN       2.2484       2.1237       1.9481       1.6486       1.3509       1.0564       0.7686       0.5190       0.2980
 31509 N-15-ND+                     40          NaN          NaN       2.7015       2.5768       2.4012       2.1019       1.8043       1.5102       1.2232          NaN          NaN
 31510 NN-15-D+                     40          NaN          NaN       2.6943       2.5696       2.3940       2.0947       1.7972       1.5032       1.2164          NaN          NaN
 31511 C-13-O-18+                  217          NaN          NaN       2.6705       2.5458       2.3704       2.0717       1.7753       1.4836       1.2014       0.9620       0.7612
 32501 PH                          988          NaN          NaN       2.4802       2.3569       2.1843       1.8946       1.6172       1.3652       1.1694          NaN          NaN
 32502 D2CO                       4348          NaN          NaN       3.5811       3.3936       3.1296       2.6791       2.2298       1.7828       1.3316       0.9957       0.6985
 32503 H2CO-18                    1622          NaN          NaN       3.4806       3.2932       3.0293       2.5791       2.1299       1.6704       1.1596       0.6703       0.3211
 32504 *CH3OH, vt=0,1             4663          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
 32505 DCO-18+                      47          NaN          NaN       2.2602       2.1355       1.9599       1.6604       1.3625       1.0679       0.7797       0.5295       0.3073
 32506 H2C-13-OH+                 1500          NaN          NaN       3.3072       3.1198       2.8559       2.4055       1.9565       1.5102       1.0695          NaN          NaN
 32507 HDC-13-O                    483          NaN          NaN       3.2979       3.1104       2.8465       2.3960       1.9470       1.5009       1.0604       0.6754       0.3613
 32508 O2-X, v=0                   170          NaN       2.5610       2.3395       2.2150       2.0398       1.7419       1.4477       1.1618       0.8960          NaN          NaN
 32509 C-13-F+, v=0,1               63          NaN       2.3331       2.1085       1.9837       1.8083       1.5094       1.2129       0.9210       0.6383          NaN          NaN
 32510 O2-a                         52          NaN          NaN       2.1748       2.0521       1.8804       1.5929       1.3187       1.0702       0.8686          NaN          NaN
 32511 S-atom                        2       0.8534       0.7890       0.7414       0.7213       0.7051       0.6991       0.6990       0.6990       0.6990       0.6990       0.6990
 32512 LiCCH                        68          NaN          NaN       2.7737       2.6487       2.4727       2.1720       1.8719       1.5728       1.2756          NaN          NaN
 33501 PH2                        6814          NaN          NaN       3.3894       3.2024       2.9395       2.4933       2.0536       1.6360       1.2974          NaN          NaN
 33502 *C-13-H3OH, vt=0,1         3579          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN          NaN
 33503 NH2OH                      2963          NaN          NaN       3.4025       3.2150       2.9510       2.5003       2.0508       1.6037       1.1613          NaN          NaN
 33504 SH-                          16          NaN       1.5731       1.3529       1.2299       1.0579       0.7698       0.4953       0.2490       0.0673          NaN          NaN
 33505 SH+                         294          NaN       2.3634       2.1430       2.0197       1.8471       1.5577       1.2825       1.0381       0.8576       0.7884       0.7783
 33506 D2C-13-O                   3193          NaN          NaN       3.5878       3.4004       3.1364       2.6858       2.2365       1.7901       1.3576       1.0019       0.7042
 34501 PH3                        2095          NaN       3.2442       2.9111       2.7240       2.4608       2.0132       1.5705       1.1435       0.7631       0.4801       0.3277
 34502 H2S                        1501          NaN          NaN       2.7113       2.5244       2.2619       1.8164       1.3778       0.9395       0.4640       0.0954       0.0033
 34503 OO-18                       348          NaN          NaN       2.6638       2.5387       2.3625       2.0615       1.7610       1.4627       1.1721          NaN          NaN
 35501 NaC                         225          NaN          NaN       3.2906       3.1653       2.9890       2.6882       2.3882       2.0894       1.7931          NaN          NaN
 35502 HDS                        2364          NaN          NaN       2.6364       2.4492       2.1860       1.7384       1.2957       0.8628       0.4516       0.1491       0.0191
 35503 H2S-33                     4759          NaN          NaN       3.3140       3.1271       2.8645       2.4190       1.9804       1.5421       1.0665       0.6977       0.6054
 36501 NaCH                        154          NaN          NaN       3.2205       3.0953       2.9191       2.6181       2.3177       2.0181       1.7202          NaN          NaN
 36502 C3, nu2                      66          NaN          NaN       2.7727       2.6220       2.3982       1.9813       1.5520       1.1913       0.8886          NaN          NaN
 36503 D2S                        1107          NaN          NaN       3.0163       2.8289       2.5653       2.1166       1.6716       1.2343       0.8213       0.5116       0.3390
 36504 H2S-34                      990          NaN          NaN       2.7124       2.5255       2.2630       1.8175       1.3788       0.9405       0.4649       0.0959       0.0034
 36505 (O-18)2                     181          NaN          NaN       2.3899       2.2651       2.0894       1.7899       1.4926       1.2005       0.9226          NaN          NaN
 37501 C3H, v4=0,1mS              5344          NaN          NaN       3.7988       3.6649       3.4714       3.1217       2.7380       2.3228       1.9243          NaN          NaN
 37502 Ar-36-H+                     27       1.8459       1.5344       1.3145       1.1917       1.0201       0.7333       0.4613       0.2206       0.0521          NaN          NaN
 37503 HDS-34                     1754          NaN          NaN       2.6381       2.4509       2.1876       1.7400       1.2974       0.8644       0.4531       0.1500       0.0193
 37504 H2Cl+                       598          NaN          NaN       3.2837       3.0968       2.8344       2.3892       1.9511       1.5132       1.0385       0.6854       0.6047
 37505 C3H+                         59          NaN          NaN       2.7456       2.6206       2.4446       2.1441       1.8440       1.5451       1.2482       0.9825       0.7321
 38501 l-C3H2                      981          NaN          NaN       3.9978       3.8102       3.5459       3.0946       2.6433       2.1784       1.6570          NaN          NaN
 38502 C2N                         316          NaN          NaN       3.7595       3.6224       3.4235       3.0641       2.6861       2.3271       2.0191          NaN          NaN
 38503 C3D, v4=0,1mS              1770          NaN          NaN       4.0322       3.9024       3.7167       3.3878       3.0349       2.6453       2.2248          NaN          NaN
 38504 13C-CCH, v4=0,1mS          1498          NaN          NaN       4.1171       3.9832       3.7898       3.4402       3.0565       2.6409       2.2415          NaN          NaN
 38505 C-13C-CH, v4=0,1mS         1445          NaN          NaN       4.1001       3.9663       3.7729       3.4235       3.0400       2.6248       2.2258          NaN          NaN
 38506 CC-13C-H, v4=0,1mS         1475          NaN          NaN       4.1139       3.9802       3.7869       3.4378       3.0546       2.6391       2.2389          NaN          NaN
 38507 D2S-34                      789          NaN          NaN       3.0163       2.8289       2.5653       2.1166       1.6716       1.2343       0.8213       0.5131       0.3396
 38508 c-C3H2                     4296          NaN          NaN       4.1060       3.9185       3.6545       3.2035       2.7535       2.3050       1.8598       1.4613       1.0798
 39501 HCCN                        295          NaN          NaN       3.2325       3.1075       2.9314       2.6305       2.3297       2.0294       1.7301       1.4611       1.2073
 39502 l-C-13-CCH2                1534          NaN          NaN       4.3154       4.1278       3.8635       3.4122       2.9609       2.4959       1.9743          NaN          NaN
 39503 l-CC-13-CH2                1488          NaN          NaN       4.2989       4.1112       3.8470       3.3956       2.9444       2.4795       1.9580          NaN          NaN
 39504 l-CCC-13-H2                1516          NaN          NaN       4.3114       4.1238       3.8595       3.4081       2.9568       2.4919       1.9703          NaN          NaN
 39505 H2C3H                       692          NaN          NaN       4.6456       4.4580       4.1938       3.7424       3.2921       2.8567       2.4692          NaN          NaN
 39506 l-C3HD                       15          NaN          NaN       4.1095       3.9218       3.6575       3.2060       2.7551       2.3019       1.8169          NaN          NaN
 39507 H2Cl-37-+                   598          NaN          NaN       3.2846       3.0977       2.8353       2.3901       1.9520       1.5141       1.0393       0.6857       0.6047
 39508 c-C3HD                     5195          NaN          NaN       4.3468       4.1593       3.8952       3.4442       2.9940       2.5452       2.0993       1.6999       1.3228
 39509 c-C-13-C2H2                3385          NaN          NaN       4.4238       4.2364       3.9723       3.5213       3.0712       2.6227       2.1773       1.7785       1.3966
 39510 c-CCC-13-H2                4041          NaN          NaN       4.1178       3.9303       3.6663       3.2153       2.7652       2.3167       1.8713       1.4728       1.0974
 39511 Ar-38-H+                     27          NaN          NaN       1.3151       1.1923       1.0207       0.7338       0.4619       0.2210       0.0523          NaN          NaN
 40501 SiC, v=0                    294          NaN          NaN       3.1907       3.0427       2.8242       2.4233       2.0149       1.6657       1.3974          NaN          NaN
 40502 CH3CCH                     1958          NaN          NaN       4.2511       3.9712       3.6242       3.1343       2.6828       2.2462       1.8374          NaN          NaN
